ID,t011_prgrm,pass_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year
,KKM2,0,,1,,,1,,3,3,,1.083333333,,1,8,2014
,KKM,0,,,,,1,,3,3,,1,,1,9,2014
,KKM,1,,1,,,1,,3,3,,10.5,1,1,9,2014
,KKM,0,,,,,1,,3,3,,6.25,,1,9,2014
,KKM2,1,,,,,1,,3,3,,26.25,1,1,8,2014
,KKM,1,,1,,,1,,3,3,,42.5,1,1,9,2014
,KKM,1,,,,,1,,3,3,,87.5,1,1,9,2014
,KKM,1,,,,,1,,3,3,,46.25,1,1,9,2014
,KKM,1,,,,,1,,3,3,,51,1,1,9,2014
,KKM,1,,1,,,1,,3,3,,12,1,1,9,2014
,KKM,0,,1,,,1,,3,3,,8,,1,9,2014
,KKM,1,,1,,,1,,3,3,,12,1,1,9,2014
,KKM,0,,1,,,1,,3,3,,6,,1,9,2014
,KKM,0,,1,,,1,,3,3,,8,,1,9,2014
,KKM,0,,1,,,1,,3,3,,5,,1,9,2014
,KKM,1,,1,,,1,,3,3,,32,1,1,9,2014
,KKM,0,,1,,,1,,3,3,,8,,1,9,2014
,KKM,0,,1,,,1,,3,3,,5,,1,9,2014
,KKM,0,,1,,,0,,,,,,,1,9,2014
,KKM,0,,1,,,1,,3,3,,8,,1,9,2014
,KKM,0,,1,,,0,,,,,,,1,9,2014
,KKM,0,,1,,,1,,3,3,,5,,1,9,2014
,KKM2,0,,,,,1,,3,3,,4,,1,8,2014
,KKM2,0,1,1,,,1,,3,3,8,,,1,8,2014
,KKM2,0,1,,,,1,,3,3,,9,,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,,1,,,1,,2,2,10,3.833333333,,1,8,2014
,KKM,1,,,,,1,,3,3,,15,1,1,9,2014
,KKM,1,,,,,1,,2,3,,20,1,1,9,2014
,KKM,0,,1,,,1,,1,2,,,,1,9,2014
,KKM,1,,1,,,1,,3,3,,10,1,1,9,2014
,VHG,0,,1,,,0,,,,,,,1,2,2015
,VHG,0,,1,,,1,,3,3,,4,,1,2,2015
,VHG,1,,,,,1,,3,3,,12,1,1,2,2015
,VHG,0,,1,,,0,,,,,,,1,2,2015
,VHG,0,,,,,1,,3,3,,5,,1,2,2015
,VHG,0,,1,,,1,,3,3,,3,,1,2,2015
,VHG,1,,1,,,1,,3,3,,25,1,1,2,2015
,VHG,1,,1,,,1,,2,3,,13,1,1,2,2015
,VHG,1,,1,,,1,,2,3,,10,1,1,2,2015
,VHG,0,0,,,,,,,,,,,1,2,2015
,VHG,1,,1,,,1,,2,3,,10,1,1,2,2015
,VHG,1,,1,,,1,,3,3,,13,1,1,2,2015
,VHG,0,,1,,,1,,2,3,,6,,1,2,2015
,VHG,1,,,,,1,,3,3,,20,1,1,2,2015
,KKM,1,,,,,1,,3,3,,26,1,1,9,2014
,KKM,1,,,,,1,,3,3,,50,1,1,9,2014
,VHG,1,,,,,1,,3,3,,10,1,1,2,2015
,KKM2,0,,,,,1,,3,3,,7,,1,8,2014
,KKM2,1,,,,,1,,3,3,,36,1,1,8,2014
,KKM2,1,,,0,,1,,3,3,,36,1,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,1,,1,,,1,,2,3,,16,1,1,8,2014
,KKM2,0,0,,,,,,,,,,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,3,,1,8,2014
,KKM2,0,,1,,,1,,2,2,,7,,1,8,2014
,KKM2,0,,,,,1,,3,3,,8,,1,9,2014
,KKM2,1,,,1,1,1,,3,3,,45,1,1,8,2014
,KKM2,1,,1,,,1,,2,3,,12,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,7,,1,8,2014
,KKM2,1,,,,,1,,2,3,,16,1,1,8,2014
,KKM2,0,,1,,,1,,2,3,,2,,1,8,2014
,KKM2,0,,,,,1,,2,3,,7,,1,8,2014
,KKM2,0,,1,,,1,,2,3,,1,,1,8,2014
,KKM2,1,,1,,,1,,3,3,,25,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,21,1,1,8,2014
,KKM2,1,,,,,1,,2,3,,11,1,1,8,2014
,KKM2,0,,,,,1,,3,3,8,,,1,8,2014
,KKM2,1,,,,,1,,2,3,,10,1,1,8,2014
,KKM2,0,,1,,,1,,2,3,,6.75,,1,8,2014
,KKM2,1,,1,,,1,,2,3,,10.25,1,1,8,2014
,KKM2,1,,1,,,1,,2,3,,17,1,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,1,,,,,1,,3,3,,18.5,1,1,8,2014
,KKM2,0,0,,,,,,,,,,,1,8,2014
,KKM2,1,,,,,1,,3,3,,13.5,1,1,8,2014
,KKM2,1,,,,,1,,3,3,,19.75,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,12,1,1,8,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,10,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM,1,,1,,,1,,3,3,,18,1,1,9,2014
,KKM2,1,,1,,,1,,3,3,,12,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,4,,1,8,2014
,KKM2,1,,1,,,1,,3,3,,15,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,3,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,4,,1,8,2014
,VHG,1,,,,,1,,3,3,,18.5,1,1,3,2015
,VHG,1,,,,,1,,3,3,,15.75,1,1,3,2015
,VHG,1,,1,,,1,,3,3,,14,1,1,2,2015
,VHG,1,,,,,1,,3,3,,17,1,1,2,2015
,KKM2,0,,1,,,1,,3,3,,9.5,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,6.25,,1,8,2014
,KKM2,1,,1,,,1,,3,3,,19.5,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,11.25,1,1,9,2014
,KKM2,0,,,,,0,,,,,,,1,9,2014
,KKM2,1,,,,,1,,3,3,,12,1,1,9,2014
,KKM2,0,,,,,1,,3,3,,1,,1,9,2014
,KKM2,0,,,,,0,,,,,,,1,9,2014
,KKM2,0,,1,,,1,,3,3,,6,,1,9,2014
,KKM2,0,,1,,,1,,3,3,,8,,1,9,2014
,KKM2,0,,1,,,1,,3,3,,6,,1,9,2014
,KKM2,0,,1,,,1,,3,3,,7,,1,9,2014
,KKM2,1,,1,,,1,,3,3,,10.25,1,1,9,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,9,2014
,KKM,1,,,,,1,,3,3,,25.75,1,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,,1,,,1,,2,3,,7,,1,8,2014
,KKM2,0,,1,,,1,,2,2,,5,,1,8,2014
,KKM2,0,,,,,0,,,,,,,1,8,2014
,KKM2,1,,,,,1,,3,3,,20,1,1,9,2014
,KKM2,1,,,,,1,,3,3,,15,1,1,9,2014
,KKM,1,,,,,1,,3,3,,10,1,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM2,0,,,,,1,,3,3,,5,,1,8,2014
,KKM2,1,,,,,1,,3,3,,13,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,10,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,10,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,10,1,1,8,2014
,KKM2,0,,,,,1,,3,3,,8,,1,8,2014
,KKM2,0,,,,,1,,3,3,,7,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,6,,1,8,2014
,KKM,0,,1,,,0,,,,,,,1,9,2014
,KKM,1,,,,,1,,3,3,,25,1,1,9,2014
,KKM,0,,,,,0,,,,,,,1,9,2014
,KKM,1,,1,,,1,,3,3,,13.83333333,1,1,9,2014
,KKM,1,,,,,1,,3,3,,18.5,1,1,9,2014
,KKM,0,,,,,1,,3,3,,1,,1,9,2014
,KKM2,1,,1,,,1,,2,3,,10,1,1,8,2014
,KKM2,0,,,,,1,,2,3,,9.75,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,6.25,,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM,0,1,,,,1,,3,3,,1,,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,WASHB 75,1,,,,,1,,3,3,9,26.5,1,1,1,2016
,WASHB 75,1,,1,,,1,,3,3,,14,1,1,1,2016
,WASHB 75,1,,1,,,1,,3,3,,48,1,1,1,2016
,KKM2,0,1,,,,1,,3,3,8,,,1,8,2014
,KKM2,0,1,1,,,1,,3,3,8,,,1,8,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,10,1,1,8,2014
,KKM2,0,,,,,0,,,,,,,1,8,2014
,KKM2,0,,,,,1,,3,3,8,,,1,8,2014
,KKM2,0,,,,,0,,,,,,,1,8,2014
,KKM2,0,,,,,0,,,,,,,1,8,2014
,KKM,0,,1,,,1,,3,3,,5,,1,9,2014
,KKM,0,,1,,,1,,3,3,,6,,1,9,2014
,KKM2,0,,,,,1,,1,3,,,,1,8,2014
,KKM,1,,,,,1,,2,3,,12,1,1,9,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,1,1,,,1,,3,2,,5,,1,8,2014
,KKM,0,,1,,,1,,3,3,7,,,1,9,2014
,KKM,1,,1,,,1,,2,3,,15,1,1,9,2014
,KKM2,0,,1,,,1,,3,3,,3,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,KKM2,1,,1,,,1,,3,3,,17,1,1,9,2014
,KKM2,1,,,,,1,,3,3,,15,1,1,9,2014
,KKM2,0,,1,,,1,,1,3,,,,1,9,2014
,KKM2,0,,,0,,1,,1,2,,,,1,9,2014
,WASHB 75,1,,1,,,1,,3,3,,12,1,1,10,2015
,WASHB 75,1,,,,,1,,3,3,,20,1,1,10,2015
,WASHB 75,0,,1,,,1,,3,3,,5,,1,10,2015
,WASHB 75,1,,1,,,1,,3,3,,14,1,1,10,2015
,WASHB 75,1,,,,,1,,3,3,,10,1,1,10,2015
,KKM2,1,,,,,1,,3,3,,22.5,1,1,9,2014
,KKM,1,,,,,1,,3,3,,13.5,1,1,9,2014
,KKM,0,,,,,1,,3,3,,1,,1,9,2014
,KKM,0,,,,,1,,3,3,,1,,1,9,2014
,KKM2,1,,,0,,1,,3,3,,35,1,1,8,2014
,KKM2,1,,,,,1,,3,3,,40,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,12,1,1,8,2014
,KKM2,1,,,1,1,1,,3,3,,12,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,4,,1,8,2014
,KKM2,0,,,,,1,,3,3,,6,,1,9,2014
,KKM2,1,,,,,1,,3,3,,25,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,28.5,1,1,9,2014
,KKM2,1,,1,,,1,,3,3,,11,1,1,9,2014
,KKM2,1,,1,,,1,,3,3,,32.75,1,1,9,2014
,KKM,1,,,,,1,,3,3,,10,1,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM2,0,,,,,1,,2,3,,7,,1,8,2014
,KKM2,0,,,,,1,,2,3,,5,,1,8,2014
,KKM2,0,,1,,,1,,2,3,,5,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,1.25,,1,8,2014
,KKM2,0,,,,,1,,2,3,,3.75,,1,8,2014
,KKM2,0,0,,,,,,,,,,,1,8,2014
,BSA2,0,,1,,,0,,,,,,,1,9,2014
,BSA2,1,,,,,1,,3,3,11,40,1,1,9,2014
,BSA2,1,,1,,,1,,2,2,,20,1,1,9,2014
,BSA2,0,,1,,,0,,,,,,,1,9,2014
,BSA2,1,,1,,,1,,3,3,,50,1,1,9,2014
,KKM2,0,,,1,1,0,,,,,,,1,8,2014
,KKM2,1,,,,,1,,2,3,,24,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,2,,1,8,2014
,KKM2,1,,1,,,1,,3,3,,12,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,12,1,1,8,2014
,KKM2,1,,,,,1,,3,3,,55,1,1,8,2014
,KKM,1,,,,,1,,3,3,,35,1,1,9,2014
,KKM2,0,,1,,,1,,3,3,,2,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,2,,1,8,2014
,KKM2,1,,,,,1,,3,3,,15,1,1,8,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,7,,1,8,2014
,KKM2,1,,,,,1,,3,3,,15,1,1,8,2014
,KKM,1,,1,,,1,,3,3,,38.75,1,1,9,2014
,KKM2,1,,,,,1,,3,3,,13,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,10,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,10,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,12,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,16,1,1,8,2014
,VHG,0,,1,,,1,,3,3,,,,1,7,2013
,VHG,0,,1,,,1,,3,3,,,,1,7,2013
,VHG,0,,1,,,1,,3,3,,,,1,7,2013
,VHG,1,,1,,,1,,3,3,,,1,1,7,2013
,VHG,0,,1,,,1,,3,3,8,,,1,7,2013
,VHG,0,,1,,,1,,3,3,,,,1,7,2013
,VHG,1,,1,,,1,,3,3,,,1,1,7,2013
,VHG,1,,1,,,1,,3,3,,,1,1,7,2013
,VHG,1,,1,,,1,,3,3,,,1,1,7,2013
,VHG,1,,,1,1,1,,3,3,,,1,1,7,2013
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,6,,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,BSA4,1,,,,,1,,2,3,,18,1,1,3,2015
,BSA4,1,,1,,,1,,2,3,,22.5,1,1,5,2015
,BSA4,0,,1,,,0,,,,,,,1,5,2015
,BSA4,0,,,,,1,,3,3,,3.5,,1,5,2015
,MGR,1,,1,,,1,,2,3,,10.5,1,1,9,2014
,VHG,0,,,,,,,,,,,,1,7,2013
,VHG,0,,,,,,,,,,,,1,7,2013
,NMR,1,,1,,,1,,3,3,,15,1,1,11,2015
,NMR,1,,1,,,1,,3,3,,16.66666667,1,1,11,2015
,NMR,0,,1,,,1,,2,2,9,5,,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,0,0,,,,,,,,,,,1,11,2015
,NMR,1,,1,,,1,,3,3,,10,1,1,10,2015
,NMR,1,,,,,1,,3,3,,30,1,1,11,2015
,NMR,1,,,,,1,,3,3,,30,1,1,11,2015
,NMR,1,,,,,1,,3,3,,100,1,1,11,2015
,NMR,1,,,,,1,,3,3,,30,1,1,11,2015
,VHG,1,,1,,,1,,3,3,,42.25,1,1,12,2013
,VHG,1,,,,,1,,2,3,,15,1,1,3,2014
,VHG,1,,,,,1,,3,3,,62.5,1,1,12,2013
,VHG,0,,,0,,1,,3,3,,,,1,12,2013
,BSA4,1,,1,,,1,,3,3,,10,1,1,3,2015
,BSA4,1,,1,,,1,,3,3,,10,1,1,3,2015
,BSA4,0,,1,,,1,,3,3,,8,,1,3,2015
,BSA4,0,0,,,,,,,,,,,1,5,2015
,BSA4,1,,1,,,1,,3,3,,20,1,1,3,2015
,BSA4,0,,,1,1,1,,3,3,,5,,1,3,2015
,BSA4,0,,1,,,0,,,,,,,1,3,2015
,BSA4,0,0,,,,,,,,,,,1,5,2015
,KKM2,0,,,,,1,,3,3,8,,,1,8,2014
,KKM2,0,,,,,1,,3,3,,9,,1,8,2014
,KKM2,1,,1,,,1,,3,3,,15,1,1,8,2014
,WASHB 75,1,,,,,1,,3,3,,20,1,1,1,2016
,WASHB 75,1,,1,,,1,,3,3,,10,1,1,1,2016
,WASHB 75,1,,,,,1,,3,3,,30,1,1,1,2016
,WASHB 75,1,,1,,,1,,3,3,,44,1,1,1,2016
,WASHB 75,1,,1,,,1,,3,3,10,10.16666667,1,1,1,2016
,WASHB 75,1,,1,,,1,,3,3,10,12.5,1,1,1,2016
,NMR,0,,1,,,1,,2,2,,5,,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,TNZ,1,,1,,,1,,3,3,,23.33333333,1,1,9,2015
,TNZ,0,,1,,,0,,,,,,,1,9,2015
,TNZ,1,,1,,,1,,3,3,,26.66666667,1,1,9,2015
,TNZ,0,,,,,0,,,,,,,1,9,2015
,TNZ,1,,-999,,,1,,3,3,,16.66666667,1,1,9,2015
,TNZ,1,,,,,1,,3,3,,23.33333333,1,1,9,2015
,TNZ,1,,,,,1,,3,3,,30,1,1,12,2014
,TNZ,1,,,,,1,,2,3,,30,1,1,12,2014
,TNZ,1,,,,,1,,3,3,,20,1,1,12,2014
,NMR,0,,1,,,1,,2,2,,5,,1,11,2015
,NMR,1,,1,,,1,,2,2,,32,1,1,11,2015
,NMR,0,,1,,,1,,2,2,,3,,1,11,2015
,NMR,1,,1,,,1,,2,2,,10,1,1,11,2015
,NMR,1,,1,,,1,,2,2,,18,1,1,11,2015
,KKM2,0,0,,,,,,,,,,,1,8,2014
,KKM2,1,,,,,1,,3,3,,26,1,1,8,2014
,NMR,0,,1,,,0,,,,,,,1,10,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,1,,1,,,1,,3,3,,18.25,1,1,11,2015
,NMR,0,,1,,,1,,3,3,,3.75,,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,0,,1,,,1,,3,3,,3.5,,1,11,2015
,NMR,1,,1,,,1,,3,3,,14.75,1,1,11,2015
,WASHB 75,1,,1,,,1,,2,3,,30,1,1,1,2016
,WASHB 75,1,,1,,,1,,2,3,,10,1,1,1,2016
,VHG,0,,1,,,1,,3,3,,5.5,,1,2,2015
,VHG,1,,1,,,1,,3,3,,10,1,1,2,2015
,VHG,1,,1,,,1,,3,3,,10,1,1,2,2015
,VHG,0,,1,,,1,,3,3,,5,,1,2,2015
,VHG,0,0,,,,,,,,,,,1,3,2015
,UGS,0,,1,,,1,,3,3,,4,,1,5,2015
,UGS,0,,1,,,1,,3,3,,3,,1,5,2015
,UGS,0,,1,,,1,,3,3,,1,,1,5,2015
,UGS,0,,1,,,1,,3,3,,4,,1,5,2015
,UGS,0,,1,,,0,,,,,,,1,5,2015
,MGR,1,,1,,,1,,2,3,,12.5,1,1,9,2014
,MGR,1,,1,,,1,,3,3,,12.5,1,1,9,2014
,MGR,1,,1,,,1,,2,3,,16,1,1,3,2014
,MGR,0,,,,,1,,2,3,,5,,1,3,2014
,MGR,1,,1,,,1,,2,3,,10,1,1,3,2014
,MGR,0,,,,,1,,2,3,9,4.25,,1,3,2014
,MGR,1,,1,,,1,,2,3,,15,1,1,3,2014
,MGR,0,,1,,,1,,2,3,9,4.5,,1,3,2014
,MGR,0,,1,,,1,,2,3,,6,,1,3,2014
,MGR,0,,1,,,1,,2,3,,5.25,,1,3,2014
,MGR,0,,1,,,1,,2,3,,3,,1,3,2014
,MGR,0,,1,,,1,,2,3,,3.75,,1,3,2014
,MGR,1,,,1,1,1,,2,3,,15,1,1,3,2014
,MGR,1,,,1,1,1,,2,3,,15,1,1,3,2014
,MGR,1,,,,,1,,2,3,10,10.83333333,1,1,3,2014
,MGR,1,,,,,1,,2,3,,10,1,1,3,2014
,MGR,1,,,1,1,1,,2,3,,20,1,1,3,2014
,MGR,0,0,,,,,,,,,,,1,3,2014
,MGR,1,,,,,1,,2,3,,10,1,1,3,2014
,MGR,1,,1,,,1,,2,3,,13.5,1,1,9,2014
,KKM2,0,,1,,,1,,1,3,,,,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,8,2014
,KKM2,1,,1,,,1,,3,3,,11,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,4,,1,8,2014
,KKM2,1,,,,,1,,3,3,,14,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,6,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,7,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,KKM2,1,,,,,1,,3,3,,13,1,1,8,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,KKM2,1,,,,,1,,3,3,,15,1,1,8,2014
,KKM2,1,,,,,1,,3,3,,13,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,9,5,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,5,,1,8,2014
,VHG,0,0,,,,,,,,,,,1,3,2015
,VHG,0,,,0,,1,,3,3,,1,,1,3,2015
,VHG,0,0,,,,,,,,,,,1,3,2015
,VHG,0,,,1,1,1,,3,3,,1,,1,3,2015
,VHG,1,,,,,1,,3,3,,25,1,1,3,2015
,VHG,1,,1,,,1,,3,3,,18,1,1,3,2015
,VHG,1,,1,,,1,,3,3,,20,1,1,3,2015
,BSA3,0,,1,,,0,,,,,,,1,5,2015
,UGS,0,,,0,,1,,3,3,,3,,1,6,2015
,UGS,0,,,,,1,,2,3,,1,,1,9,2014
,UGS,0,,1,,,0,,,,,,,1,9,2014
,UGS,0,,1,,,1,,1,3,,,,1,9,2014
,UGS,1,,1,,,1,,2,3,,13,1,1,9,2014
,UGS,0,,1,,,1,,1,3,,,,1,9,2014
,UGS,0,,1,,,0,,,,,,,1,9,2014
,VHG,0,,,,,0,,,,,,,1,3,2015
,VHG,1,,,,,1,,3,3,,11.5,1,1,3,2015
,VHG,1,,1,,,1,,3,3,,11.5,1,1,3,2015
,VHG,1,,,,,1,,3,3,,13,1,1,2,2015
,TNZ,0,,,,,1,,3,3,,1,,1,3,2015
,VHG,1,,1,,,1,,3,3,,12,1,1,3,2014
,KKM2,0,,,,,1,,3,3,,5,,1,9,2014
,KKM2,0,,,,,1,,3,3,,5.25,,1,9,2014
,KKM2,0,,,,,1,,3,3,,5.25,,1,9,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,9,2014
,KKM2,1,,,,,1,,3,3,,10,1,1,9,2014
,KKM2,0,,,,,1,,3,3,,6.5,,1,9,2014
,KKM2,0,0,,,,,,,,,,,1,9,2014
,KKM,1,,,,,1,,3,3,,26.25,1,1,9,2014
,KKM,0,,,,,1,,3,3,,3,,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM,1,,,,,1,,3,3,,17.25,1,1,9,2014
,VHG,0,0,,,,,,,,,,,1,2,2015
,VHG,0,0,,,,,,,,,,,1,2,2015
,VHG,0,,,,,1,,3,3,,1.5,,1,2,2015
,VHG,1,,1,,,1,,3,3,,10,1,1,2,2015
,VHG,1,,,,,1,,3,3,,10.25,1,1,2,2015
,VHG,1,,1,,,1,,3,3,,10.5,1,1,3,2015
,KKM,1,,,,,1,,3,3,,12.5,1,1,9,2014
,KKM,1,,,,,1,,3,3,,18.75,1,1,9,2014
,KKM,1,,,,,1,,3,3,,16.75,1,1,9,2014
,KKM,1,,1,,,1,,3,3,,16.5,1,1,9,2014
,KKM,1,,,,,1,,3,3,,15.75,1,1,9,2014
,KKM,0,,1,,,1,,3,3,,5,,1,9,2014
,KKM,0,,1,,,1,,3,3,,3.5,,1,9,2014
,KKM,1,,,,,1,,3,3,,15.75,1,1,9,2014
,KKM,0,,1,,,1,,3,3,,4.75,,1,9,2014
,KKM,1,,1,,,1,,3,3,,12.75,1,1,9,2014
,KKM,0,,,,,1,,3,3,,7.25,,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM,0,,1,,,1,,3,3,,1,,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM,1,,1,,,1,,3,3,,21.5,1,1,9,2014
,KKM2,0,,1,,,1,,2,3,,5,,1,8,2014
,KKM2,1,,,1,1,1,,3,3,,10,1,1,8,2014
,KKM2,0,,1,,,1,,3,3,,8,,1,8,2014
,KKM2,0,,1,,,1,,3,3,,9,,1,8,2014
,VHG,0,,,,,1,,3,3,,7,,1,2,2015
,VHG,0,,,,,1,,3,3,,4,,1,2,2015
,VHG,0,,,,,1,,3,3,,5.25,,1,2,2015
,KKM,1,,,,,1,,3,3,,10,1,1,9,2014
,KKM,1,,,,,1,,3,3,,22.5,1,1,9,2014
,KKM,1,,,,,1,,2,2,,10,1,1,9,2014
,KKM,1,,,,,1,,2,2,,10.75,1,1,9,2014
,KKM,0,0,,,,,,,,,,,1,9,2014
,KKM2,1,,,,,1,,3,3,,11.25,1,1,9,2014
,KKM2,0,0,,,,,,,,,,,1,8,2014
,KKM2,0,,,,,0,,,,,,,1,8,2014
,KKM,1,,1,,,1,,3,3,,10,1,1,9,2014
,KKM,0,,1,,,1,,3,3,,1.5,,1,9,2014
,KKM,0,,1,,,1,,3,3,,1,,1,9,2014
,KKM,0,,1,,,1,,3,3,,5,,1,9,2014
,KKM,0,,,,,1,,3,3,,7,,1,9,2014
,KKM2,0,0,,,,,,,,,,,1,8,2014
,KKM2,0,,,,,1,,3,3,,4,,1,8,2014
,KKM2,1,,,,,1,,3,3,,14.75,1,1,8,2014
,KKM2,0,1,1,,,1,,3,3,,9,,1,9,2014
,KKM2,0,,1,,,1,,3,3,,3,,1,9,2014
,KKM2,0,,1,,,1,,1,2,,,,1,9,2014
,KKM2,0,,1,,,1,,3,3,,3,,1,9,2014
,KKM2,1,,1,,,1,,3,3,,10,1,1,8,2014
,KKM2,0,,1,,,0,,,,,,,1,8,2014
,KKM2,0,0,,,,,,,,,,,1,8,2014
,BSA3,1,,,,,1,,3,3,,40,1,1,3,2015
,BSA3,1,,,,,1,,3,3,,20,1,1,3,2015
,BSA3,1,1,1,,,1,,3,3,9,16.66666667,1,1,3,2015
,BSA3,1,,,,,1,,3,3,,30,1,1,3,2015
,BSA3,1,,1,,,1,,3,3,,45,1,1,3,2015
,BSA3,1,,1,,,1,,3,3,,30,1,1,3,2015
,BSA3,1,,1,,,1,,3,3,,15,1,1,3,2015
,BSA3,1,,,0,,1,,3,3,,20,1,1,3,2015
,BSA3,1,1,1,,,1,,3,3,,15.83333333,1,1,3,2015
,BSA3,0,0,,,,,,,,,,,1,3,2015
,BSA3,0,,,,,0,,,,,,,1,3,2015
,BSA3,0,,,,,1,,3,3,,2,,1,3,2015
,BSA3,0,,1,,,0,,,,,,,1,3,2015
,BSA3,1,,1,,,1,,3,3,,20,1,1,3,2015
,BSA3,1,,1,,,1,,3,3,,35,1,1,3,2015
,BSA3,0,0,,,,,,,,,,,1,3,2015
,BSA3,0,,,,,0,,,,,,,1,3,2015
,BSA3,1,1,,,,1,,3,3,10,25,1,1,3,2015
,BSA3,1,,,,,1,,3,3,,50,1,1,3,2015
,BSA3,0,,1,,,0,,,,,,,1,3,2015
,BSA3,0,0,,,,,,,,,,,1,3,2015
,BSA3,0,0,,,,,,,,,,,1,3,2015
,BSA3,0,0,,,,,,,,,,,1,3,2015
,BSA3,0,,1,,,0,,,,,,,1,3,2015
,BSA3,1,,,,,1,,3,3,,60,1,1,3,2015
,BSA3,0,,,,,0,,,,,,,1,3,2015
