id,country,ssm011_prgrm,year,month,ssm005_today
,1,Ugunja,2013,8,13-Aug-13
,1,Ugunja,2013,8,18-Aug-13
,1,Ugunja,2013,8,16-Aug-13
,1,Ugunja,2013,8,13-Aug-13
,1,Ugunja,2013,8,18-Aug-13
,1,Ugunja,2013,8,15-Aug-13
,1,Ugunja,2013,8,14-Aug-13
,1,Ugunja,2013,8,23-Aug-13
,1,Busia,2014,8,09-Aug-14
,1,Busia,2014,8,06-Aug-14
,1,Busia,2014,8,14-Aug-14
,1,Busia,2014,8,09-Aug-14
,1,Busia,2014,8,09-Aug-14
,1,Busia,2014,8,11-Aug-14
,1,Busia,2014,8,09-Aug-14
